return_id,transaction_id,sku_id,customer_id,return_date,units_returned,return_reason,return_value,restockable,handling_cost
RET0000020,TXN00247083,SKU00150,CUST0148,2024-05-18,2,Defective,196.68,0,5.95
RET0000021,TXN00082990,SKU00040,CUST0104,2025-04-09,2,Defective,688.78,0,6.58
RET0000022,TXN00421440,SKU00270,CUST0085,2025-12-23,3,Wrong Part,179.01,1,15.99
RET0000023,TXN00281655,SKU00174,CUST0154,2025-10-19,2,Wrong Part,181.72,0,11.46
RET0000024,TXN00039240,SKU00017,CUST0172,2024-07-10,2,Overstock,94.88,1,3.3
RET0000025,TXN00052609,SKU00023,CUST0104,2024-04-10,2,Defective,413.46,0,7.44
RET0000026,TXN00167312,SKU00088,CUST0057,2025-02-08,2,Overstock,146.28,1,6.4
RET0000027,TXN00078347,SKU00039,CUST0155,2025-02-12,3,Wrong Part,35.04,0,7.26
RET0000028,TXN00702003,SKU00468,CUST0172,2025-09-13,3,Wrong Part,334.98,1,14.46
RET0000029,TXN00387909,SKU00246,CUST0051,2026-05-31,3,Defective,912.93,0,15.96
RET0000030,TXN00368079,SKU00230,CUST0199,2026-04-16,1,Overstock,128.29,1,3.67
RET0000031,TXN00080491,SKU00040,CUST0025,2023-09-23,2,Defective,810.32,0,3.23
RET0000032,TXN00355197,SKU00221,CUST0003,2025-03-21,3,Duplicate Order,324.15,1,11.95
RET0000033,TXN00501003,SKU00328,CUST0065,2026-04-13,2,Defective,29.22,0,3.16
RET0000034,TXN00620627,SKU00427,CUST0192,2023-06-29,1,Defective,15.81,0,2.18
RET0000035,TXN00552199,SKU00377,CUST0126,2026-03-27,1,Damaged in Transit,55.57,0,5.98
RET0000036,TXN00653814,SKU00440,CUST0077,2025-11-28,3,Duplicate Order,711.18,1,13.3
RET0000037,TXN00595443,SKU00402,CUST0105,2026-04-01,3,Wrong Part,197.1,1,12.8
RET0000038,TXN00441206,SKU00280,CUST0046,2024-08-29,2,Overstock,139.34,1,6.69
RET0000039,TXN00613359,SKU00419,CUST0131,2023-08-14,1,Overstock,63.86,1,2.32
RET0000040,TXN00438268,SKU00279,CUST0030,2025-07-06,1,Defective,17.25,0,3.84
RET0000041,TXN00345321,SKU00216,CUST0105,2024-09-30,1,Duplicate Order,263.17,1,5.22
RET0000042,TXN00289045,SKU00178,CUST0187,2026-05-22,1,Defective,361.87,0,4.46
RET0000043,TXN00309243,SKU00193,CUST0172,2025-09-18,2,Wrong Part,514.52,0,7.46
RET0000044,TXN00457590,SKU00295,CUST0161,2024-05-29,2,Wrong Part,823.6,1,7.49
RET0000045,TXN00061045,SKU00030,CUST0051,2024-08-13,1,Overstock,82.21,1,5.24
RET0000046,TXN00073661,SKU00038,CUST0098,2024-05-30,1,Duplicate Order,98.18,1,4.59
RET0000047,TXN00712071,SKU00479,CUST0029,2025-04-18,2,Wrong Part,185.08,0,9.07
RET0000048,TXN00699536,SKU00466,CUST0083,2024-01-30,1,Damaged in Transit,106.29,0,3.77
RET0000049,TXN00551892,SKU00377,CUST0048,2026-01-19,1,Damaged in Transit,55.57,0,2.11
RET0000050,TXN00163628,SKU00087,CUST0164,2025-08-14,1,Overstock,396.97,1,2.84
RET0000051,TXN00539120,SKU00369,CUST0043,2026-02-18,2,Damaged in Transit,380.3,0,5.81
RET0000052,TXN00476336,SKU00316,CUST0048,2023-08-05,3,Wrong Part,629.82,1,12.59
RET0000053,TXN00633805,SKU00432,CUST0145,2024-08-19,1,Duplicate Order,35.18,1,3.53
RET0000054,TXN00169651,SKU00089,CUST0163,2025-07-25,1,Overstock,305.8,1,4.1
RET0000055,TXN00638316,SKU00433,CUST0039,2025-03-28,1,Duplicate Order,252.64,1,3.84
RET0000056,TXN00066456,SKU00035,CUST0037,2023-11-02,2,Defective,167.02,0,3.22
RET0000057,TXN00431545,SKU00277,CUST0060,2024-05-13,3,Damaged in Transit,52.11,0,10.12
RET0000058,TXN00458457,SKU00295,CUST0115,2025-02-05,1,Duplicate Order,370.62,1,2.47
RET0000059,TXN00680753,SKU00458,CUST0120,2026-03-12,1,Wrong Part,13.24,1,2.18
RET0000060,TXN00192486,SKU00109,CUST0141,2026-01-18,2,Overstock,125.4,1,3.03
RET0000061,TXN00681540,SKU00459,CUST0043,2023-08-25,3,Damaged in Transit,418.05,0,16.89
RET0000062,TXN00274178,SKU00169,CUST0148,2025-01-16,1,Overstock,192.47,1,5.84
RET0000063,TXN00102613,SKU00045,CUST0125,2026-05-04,2,Overstock,300.2,1,9.92
RET0000064,TXN00061581,SKU00030,CUST0196,2025-08-08,1,Defective,86.77,0,2.55
RET0000065,TXN00402992,SKU00256,CUST0044,2024-09-23,1,Defective,196.42,0,3.28
RET0000066,TXN00730182,SKU00491,CUST0170,2026-02-27,2,Wrong Part,118.96,1,4.29
RET0000067,TXN00459368,SKU00295,CUST0152,2025-10-29,1,Wrong Part,308.85,0,5.58
RET0000068,TXN00342073,SKU00214,CUST0098,2025-12-06,2,Overstock,397.8,1,3.34
RET0000069,TXN00057481,SKU00028,CUST0145,2023-07-10,1,Wrong Part,345.21,1,4.36
RET0000070,TXN00717850,SKU00482,CUST0034,2024-02-13,3,Damaged in Transit,705.87,0,11.39
RET0000071,TXN00462038,SKU00298,CUST0120,2026-01-08,3,Wrong Part,1121.19,1,11.05
RET0000072,TXN00508820,SKU00333,CUST0055,2024-07-14,1,Wrong Part,251.83,0,2.78
RET0000073,TXN00235648,SKU00143,CUST0161,2025-04-26,1,Wrong Part,214.94,0,2.37
RET0000074,TXN00386051,SKU00245,CUST0116,2023-08-26,1,Wrong Part,217.26,0,4.81
RET0000075,TXN00726218,SKU00487,CUST0040,2024-02-02,1,Wrong Part,121.76,0,5.09
RET0000076,TXN00163068,SKU00087,CUST0136,2025-05-01,1,Defective,377.12,0,4.8
RET0000077,TXN00648781,SKU00437,CUST0026,2025-04-07,3,Defective,575.28,0,6.1
RET0000078,TXN00195409,SKU00115,CUST0060,2024-12-13,3,Overstock,200.19,1,16.69
RET0000079,TXN00653105,SKU00440,CUST0192,2025-04-25,2,Wrong Part,529.9,1,7.55
RET0000080,TXN00615731,SKU00422,CUST0173,2023-10-20,3,Defective,325.56,0,16.48
RET0000081,TXN00089177,SKU00042,CUST0021,2025-10-02,1,Wrong Part,187.55,1,3.28
RET0000082,TXN00515893,SKU00343,CUST0037,2024-10-04,1,Wrong Part,105.17,0,1.52
RET0000083,TXN00725428,SKU00486,CUST0164,2024-07-29,2,Defective,348.08,0,9.7
RET0000084,TXN00614840,SKU00421,CUST0031,2024-10-16,3,Defective,87.15,0,8.85
RET0000085,TXN00556824,SKU00381,CUST0019,2025-05-30,1,Wrong Part,36.13,1,2.65
RET0000086,TXN00012581,SKU00004,CUST0155,2025-04-03,3,Defective,133.65,0,17.03
RET0000087,TXN00094617,SKU00044,CUST0082,2024-01-23,2,Defective,173.5,0,11.21
RET0000088,TXN00097315,SKU00044,CUST0035,2025-08-16,2,Duplicate Order,183.7,1,7.01
RET0000089,TXN00712317,SKU00480,CUST0098,2024-03-29,2,Wrong Part,167.74,0,3.73
RET0000090,TXN00411829,SKU00262,CUST0162,2024-09-06,2,Wrong Part,630.68,0,10.86
RET0000091,TXN00675883,SKU00456,CUST0181,2026-03-27,1,Duplicate Order,381.67,1,4.15
RET0000092,TXN00006939,SKU00002,CUST0048,2025-06-02,2,Wrong Part,55.68,0,6.82
RET0000093,TXN00720255,SKU00482,CUST0010,2025-08-16,3,Overstock,784.29,1,16.59
RET0000094,TXN00452291,SKU00291,CUST0025,2026-04-02,2,Defective,304.14,0,9.19
RET0000095,TXN00559416,SKU00383,CUST0118,2023-08-26,1,Overstock,92.19,1,4.87
RET0000096,TXN00353615,SKU00220,CUST0095,2024-12-02,1,Defective,11.01,0,1.72
RET0000097,TXN00075327,SKU00038,CUST0109,2025-11-24,2,Wrong Part,207.92,0,4.16
RET0000098,TXN00384571,SKU00244,CUST0113,2024-12-15,2,Wrong Part,147.54,1,6.88
RET0000099,TXN00006165,SKU00002,CUST0059,2024-12-06,2,Duplicate Order,74.24,1,10.63
RET0000100,TXN00731106,SKU00493,CUST0034,2025-01-05,1,Defective,445.39,0,5.81
RET0000101,TXN00472662,SKU00313,CUST0098,2025-01-13,2,Overstock,148.7,1,3.03
RET0000102,TXN00243864,SKU00148,CUST0013,2024-12-29,1,Overstock,65.17,1,4.26
RET0000103,TXN00346505,SKU00216,CUST0175,2025-06-11,2,Wrong Part,498.64,1,9.95
RET0000104,TXN00559521,SKU00383,CUST0082,2023-09-02,2,Wrong Part,184.38,1,10.46
RET0000105,TXN00332922,SKU00207,CUST0133,2026-01-06,2,Overstock,201.32,1,11.06
RET0000106,TXN00041185,SKU00017,CUST0172,2025-12-20,2,Duplicate Order,120.2,1,11.03
RET0000107,TXN00170710,SKU00091,CUST0128,2024-03-09,2,Defective,174.32,0,6.7
RET0000108,TXN00485875,SKU00318,CUST0060,2025-06-09,2,Duplicate Order,174.0,1,10.83
RET0000109,TXN00325134,SKU00201,CUST0154,2025-09-22,3,Defective,529.35,0,6.6
RET0000110,TXN00319970,SKU00197,CUST0120,2025-08-03,3,Wrong Part,79.59,0,17.22
RET0000111,TXN00274569,SKU00169,CUST0049,2025-10-17,1,Damaged in Transit,202.6,0,5.68
RET0000112,TXN00521155,SKU00346,CUST0031,2023-11-21,1,Overstock,179.24,1,4.73
RET0000113,TXN00491283,SKU00322,CUST0002,2025-05-05,1,Wrong Part,151.41,1,3.68
RET0000114,TXN00096832,SKU00044,CUST0040,2025-05-11,1,Defective,86.75,0,2.41
RET0000115,TXN00300642,SKU00185,CUST0091,2024-04-13,3,Wrong Part,295.5,0,8.54
RET0000116,TXN00447425,SKU00286,CUST0048,2023-09-22,1,Overstock,193.21,1,3.04
RET0000117,TXN00327678,SKU00203,CUST0159,2024-02-04,1,Overstock,258.79,1,3.99
RET0000118,TXN00011611,SKU00004,CUST0114,2024-06-17,2,Wrong Part,89.1,1,11.97
RET0000119,TXN00249713,SKU00153,CUST0131,2025-06-26,3,Wrong Part,409.38,0,9.1
RET0000120,TXN00570813,SKU00387,CUST0006,2023-10-21,3,Duplicate Order,454.74,1,6.95
RET0000121,TXN00595625,SKU00403,CUST0046,2024-07-22,3,Duplicate Order,663.27,1,12.76
RET0000122,TXN00218966,SKU00128,CUST0190,2024-02-05,2,Wrong Part,55.6,1,5.62
RET0000123,TXN00162477,SKU00087,CUST0098,2024-10-28,1,Damaged in Transit,377.12,0,5.01
RET0000124,TXN00427158,SKU00274,CUST0030,2025-08-13,1,Wrong Part,28.76,1,5.75
RET0000125,TXN00710683,SKU00476,CUST0130,2024-07-17,2,Duplicate Order,74.92,1,3.37
RET0000126,TXN00284196,SKU00175,CUST0085,2025-02-15,1,Defective,80.93,0,5.69
RET0000127,TXN00371197,SKU00235,CUST0013,2026-03-26,1,Duplicate Order,406.41,1,4.32
RET0000128,TXN00190240,SKU00106,CUST0006,2025-12-26,1,Wrong Part,10.82,1,1.67
RET0000129,TXN00738845,SKU00497,CUST0026,2025-03-18,1,Defective,112.57,0,1.62
RET0000130,TXN00277496,SKU00170,CUST0161,2025-09-08,3,Defective,249.36,0,7.29
RET0000131,TXN00455110,SKU00292,CUST0037,2025-08-15,1,Defective,333.2,0,2.45
RET0000132,TXN00237596,SKU00145,CUST0127,2024-09-14,1,Duplicate Order,121.33,1,2.24
RET0000133,TXN00696120,SKU00465,CUST0062,2023-12-28,3,Wrong Part,663.42,1,16.8
RET0000134,TXN00132509,SKU00071,CUST0148,2025-11-28,2,Wrong Part,139.5,0,3.66
RET0000135,TXN00200469,SKU00120,CUST0179,2023-07-12,3,Wrong Part,28.89,0,16.93
RET0000136,TXN00309804,SKU00193,CUST0109,2026-02-08,1,Damaged in Transit,271.55,0,1.54
RET0000137,TXN00482259,SKU00317,CUST0151,2024-05-04,2,Wrong Part,522.28,0,5.19
RET0000138,TXN00197069,SKU00117,CUST0162,2024-02-11,1,Wrong Part,340.09,1,3.56
RET0000139,TXN00077144,SKU00039,CUST0010,2024-03-14,1,Duplicate Order,15.57,1,1.57
RET0000140,TXN00454189,SKU00292,CUST0083,2024-11-19,2,Defective,666.4,0,3.01
RET0000141,TXN00679691,SKU00458,CUST0180,2025-06-17,3,Overstock,31.77,1,10.78
RET0000142,TXN00699958,SKU00467,CUST0026,2023-10-26,3,Wrong Part,23.13,1,7.43
RET0000143,TXN00415043,SKU00264,CUST0128,2024-10-04,2,Wrong Part,893.26,1,4.13
RET0000144,TXN00041941,SKU00017,CUST0145,2026-04-03,1,Defective,50.61,0,4.84
RET0000145,TXN00715014,SKU00481,CUST0120,2025-04-21,1,Defective,45.56,0,4.68
RET0000146,TXN00277643,SKU00170,CUST0114,2025-10-31,3,Wrong Part,262.47,1,6.12
RET0000147,TXN00595258,SKU00402,CUST0141,2024-04-11,3,Defective,246.39,0,16.92
RET0000148,TXN00473570,SKU00314,CUST0098,2023-07-28,3,Wrong Part,365.1,1,7.42
RET0000149,TXN00334295,SKU00208,CUST0031,2025-07-21,2,Wrong Part,294.36,1,7.55
RET0000150,TXN00002303,SKU00001,CUST0176,2025-06-02,1,Wrong Part,50.58,0,3.97
RET0000151,TXN00544691,SKU00376,CUST0010,2023-10-29,1,Overstock,148.33,1,3.65
RET0000152,TXN00635690,SKU00432,CUST0068,2026-01-25,2,Overstock,59.24,1,8.78
RET0000153,TXN00398495,SKU00253,CUST0034,2025-01-13,1,Overstock,185.53,1,4.86
RET0000154,TXN00257942,SKU00161,CUST0125,2024-12-05,1,Wrong Part,7.22,1,1.97
RET0000155,TXN00191133,SKU00108,CUST0065,2026-01-06,2,Duplicate Order,604.7,1,11.96
RET0000156,TXN00717872,SKU00482,CUST0013,2024-02-20,2,Duplicate Order,444.44,1,3.05
RET0000157,TXN00415641,SKU00264,CUST0054,2025-03-27,1,Wrong Part,424.3,1,4.12
RET0000158,TXN00625901,SKU00429,CUST0141,2024-06-11,2,Overstock,345.12,1,7.08
RET0000159,TXN00722928,SKU00484,CUST0129,2024-09-06,1,Damaged in Transit,39.08,0,3.55
RET0000160,TXN00095089,SKU00044,CUST0089,2024-04-20,1,Wrong Part,91.85,1,5.31
RET0000161,TXN00524901,SKU00351,CUST0172,2024-06-09,3,Defective,371.82,0,6.39
RET0000162,TXN00557791,SKU00381,CUST0158,2026-03-10,2,Wrong Part,61.42,0,7.97
RET0000163,TXN00585187,SKU00396,CUST0018,2024-06-04,1,Duplicate Order,99.06,1,2.3
RET0000164,TXN00428812,SKU00276,CUST0164,2023-06-26,1,Defective,248.55,0,3.39
RET0000165,TXN00356553,SKU00222,CUST0055,2024-06-18,2,Wrong Part,155.38,0,6.3
RET0000166,TXN00573377,SKU00387,CUST0172,2025-11-03,3,Wrong Part,432.0,0,8.37
RET0000167,TXN00305109,SKU00189,CUST0034,2025-12-18,3,Wrong Part,466.17,0,15.39
RET0000168,TXN00315509,SKU00195,CUST0192,2025-05-10,1,Wrong Part,76.19,1,5.47
RET0000169,TXN00165263,SKU00088,CUST0070,2023-12-05,1,Duplicate Order,69.48,1,3.73
RET0000170,TXN00471394,SKU00312,CUST0114,2024-01-07,3,Defective,439.53,0,10.63
RET0000171,TXN00252592,SKU00157,CUST0086,2024-09-09,1,Defective,161.93,0,2.21
RET0000172,TXN00595412,SKU00402,CUST0130,2025-12-05,1,Defective,73.92,0,4.06
RET0000173,TXN00591104,SKU00400,CUST0149,2024-02-17,2,Wrong Part,27.9,1,3.5
RET0000174,TXN00065509,SKU00034,CUST0157,2024-06-18,1,Defective,122.28,0,4.32
RET0000175,TXN00541609,SKU00372,CUST0090,2025-01-27,2,Overstock,514.68,1,10.57
RET0000176,TXN00359962,SKU00226,CUST0164,2025-09-20,2,Wrong Part,671.74,1,5.86
RET0000177,TXN00036119,SKU00016,CUST0001,2025-02-27,2,Damaged in Transit,822.92,0,10.62
RET0000178,TXN00120962,SKU00064,CUST0149,2025-05-16,3,Defective,380.43,0,7.96
RET0000179,TXN00147536,SKU00081,CUST0098,2024-12-04,2,Overstock,462.66,1,3.97
RET0000180,TXN00064104,SKU00032,CUST0152,2026-05-26,2,Duplicate Order,118.06,1,8.41
RET0000181,TXN00348792,SKU00217,CUST0006,2025-01-28,1,Defective,36.75,0,2.81
RET0000182,TXN00562616,SKU00383,CUST0060,2025-08-15,1,Overstock,69.14,1,2.36
RET0000183,TXN00432208,SKU00277,CUST0110,2024-11-10,2,Duplicate Order,43.42,1,5.0
RET0000184,TXN00326836,SKU00202,CUST0105,2026-02-02,2,Defective,980.28,0,10.11
RET0000185,TXN00694053,SKU00463,CUST0083,2024-08-29,1,Overstock,77.02,1,2.9
RET0000186,TXN00344807,SKU00216,CUST0172,2024-05-27,1,Wrong Part,235.47,1,5.12
RET0000187,TXN00262186,SKU00163,CUST0139,2024-08-22,2,Defective,529.4,0,9.95
RET0000188,TXN00620163,SKU00426,CUST0130,2024-05-01,3,Wrong Part,560.01,1,10.95
RET0000189,TXN00528581,SKU00356,CUST0076,2023-07-30,3,Overstock,1479.21,1,15.9
RET0000190,TXN00116867,SKU00059,CUST0174,2026-05-29,1,Defective,559.94,0,1.58
RET0000191,TXN00329789,SKU00203,CUST0172,2026-01-05,2,Overstock,414.06,1,9.69
RET0000192,TXN00596461,SKU00406,CUST0162,2023-11-10,1,Overstock,11.11,1,1.75
RET0000193,TXN00316926,SKU00197,CUST0013,2023-09-16,2,Wrong Part,50.4,0,8.02
RET0000194,TXN00363463,SKU00230,CUST0030,2023-07-08,2,Wrong Part,243.76,0,10.61
RET0000195,TXN00013762,SKU00004,CUST0172,2026-02-20,2,Wrong Part,71.28,0,7.69
RET0000196,TXN00138037,SKU00074,CUST0097,2023-09-26,2,Damaged in Transit,207.28,0,6.77
RET0000197,TXN00038264,SKU00017,CUST0011,2024-03-23,1,Wrong Part,60.1,0,1.61
RET0000198,TXN00334631,SKU00208,CUST0053,2026-03-11,2,Defective,263.38,0,8.28
RET0000199,TXN00590571,SKU00400,CUST0083,2023-07-07,2,Wrong Part,31.0,0,7.08
RET0000200,TXN00661567,SKU00446,CUST0006,2023-10-27,2,Wrong Part,483.94,0,7.78
RET0000201,TXN00431316,SKU00277,CUST0128,2024-04-09,2,Wrong Part,36.9,1,4.87
RET0000202,TXN00003825,SKU00002,CUST0187,2023-08-13,1,Wrong Part,29.7,1,4.32
RET0000203,TXN00444638,SKU00282,CUST0071,2025-02-18,3,Wrong Part,147.54,0,13.33
RET0000204,TXN00449163,SKU00287,CUST0037,2025-06-30,2,Duplicate Order,67.16,1,10.71
RET0000205,TXN00490996,SKU00322,CUST0065,2024-08-16,1,Overstock,159.38,1,5.58
RET0000206,TXN00285971,SKU00175,CUST0126,2026-05-19,1,Damaged in Transit,68.79,0,2.26
RET0000207,TXN00434997,SKU00278,CUST0103,2024-07-11,1,Wrong Part,14.06,1,3.66
RET0000208,TXN00174882,SKU00096,CUST0013,2023-11-30,3,Defective,900.66,0,11.35
RET0000209,TXN00068754,SKU00035,CUST0172,2025-06-02,1,Wrong Part,78.6,1,2.04
RET0000210,TXN00630436,SKU00430,CUST0044,2025-04-25,2,Wrong Part,647.3,0,6.75
RET0000211,TXN00248396,SKU00150,CUST0109,2026-06-01,1,Damaged in Transit,98.34,0,1.58
RET0000212,TXN00157002,SKU00084,CUST0167,2024-09-27,1,Wrong Part,137.06,0,5.84
RET0000213,TXN00517833,SKU00345,CUST0031,2024-03-18,2,Wrong Part,609.28,1,10.5
RET0000214,TXN00730614,SKU00493,CUST0157,2023-09-30,2,Wrong Part,801.7,1,10.02
RET0000215,TXN00728525,SKU00490,CUST0172,2025-10-17,2,Duplicate Order,390.04,1,4.55
RET0000216,TXN00345709,SKU00216,CUST0127,2024-12-07,1,Overstock,221.62,1,3.89
RET0000217,TXN00256594,SKU00161,CUST0091,2024-02-22,2,Overstock,12.28,1,3.7
RET0000218,TXN00058680,SKU00029,CUST0149,2023-07-14,1,Wrong Part,115.59,0,4.02
RET0000219,TXN00178171,SKU00097,CUST0001,2025-03-18,1,Wrong Part,6.15,1,4.06
RET0000220,TXN00735602,SKU00496,CUST0126,2025-07-02,2,Wrong Part,458.82,1,6.34
RET0000221,TXN00036958,SKU00017,CUST0187,2023-07-26,1,Overstock,63.26,1,1.61
RET0000222,TXN00476250,SKU00316,CUST0010,2023-07-28,3,Duplicate Order,664.83,1,17.19
RET0000223,TXN00404787,SKU00256,CUST0053,2026-02-01,1,Defective,196.42,0,4.28
RET0000224,TXN00596829,SKU00407,CUST0194,2025-09-16,1,Defective,136.36,0,1.59
RET0000225,TXN00680613,SKU00458,CUST0152,2026-01-15,2,Overstock,25.16,1,10.35
RET0000226,TXN00091133,SKU00043,CUST0068,2024-04-02,1,Wrong Part,45.25,0,5.08
RET0000227,TXN00076429,SKU00039,CUST0156,2023-07-30,2,Duplicate Order,29.58,1,8.45
RET0000228,TXN00488288,SKU00321,CUST0035,2024-09-28,1,Defective,67.05,0,2.53
RET0000229,TXN00698484,SKU00465,CUST0062,2025-10-13,2,Defective,552.84,0,6.3
RET0000230,TXN00552736,SKU00378,CUST0031,2024-01-07,1,Overstock,277.9,1,1.81
RET0000231,TXN00205530,SKU00121,CUST0031,2025-06-05,1,Wrong Part,33.24,0,3.4
RET0000232,TXN00128256,SKU00070,CUST0157,2025-04-16,1,Defective,83.02,0,4.96
RET0000233,TXN00583053,SKU00393,CUST0007,2026-04-03,2,Defective,643.52,0,5.1
RET0000234,TXN00392387,SKU00248,CUST0018,2026-01-04,2,Overstock,436.22,1,7.66
RET0000235,TXN00475029,SKU00315,CUST0027,2024-05-11,1,Wrong Part,94.92,0,1.63
RET0000236,TXN00707643,SKU00472,CUST0018,2026-04-09,2,Wrong Part,156.34,0,8.66
RET0000237,TXN00030001,SKU00011,CUST0172,2026-06-13,1,Defective,23.06,0,4.84
RET0000238,TXN00483788,SKU00317,CUST0139,2025-03-09,2,Wrong Part,443.94,0,11.0
RET0000239,TXN00177866,SKU00097,CUST0059,2025-01-08,1,Wrong Part,5.46,1,2.92
RET0000240,TXN00155451,SKU00084,CUST0026,2023-08-14,1,Defective,152.29,0,3.67
RET0000241,TXN00004620,SKU00002,CUST0172,2024-01-26,1,Wrong Part,29.7,1,4.12
RET0000242,TXN00121391,SKU00064,CUST0065,2026-03-30,3,Wrong Part,422.7,1,12.06
RET0000243,TXN00454715,SKU00292,CUST0011,2025-04-19,1,Wrong Part,350.74,1,2.33
RET0000244,TXN00533461,SKU00365,CUST0187,2024-06-17,1,Wrong Part,149.38,0,4.93
RET0000245,TXN00694514,SKU00463,CUST0010,2025-06-24,1,Overstock,85.58,1,2.66
RET0000246,TXN00021304,SKU00008,CUST0025,2026-04-02,3,Defective,985.35,0,13.22
RET0000247,TXN00200044,SKU00119,CUST0170,2024-01-06,1,Wrong Part,365.41,0,5.8
RET0000248,TXN00084862,SKU00040,CUST0039,2026-04-21,1,Overstock,405.16,1,2.2
RET0000249,TXN00676331,SKU00457,CUST0031,2025-04-11,1,Duplicate Order,87.84,1,5.21
RET0000250,TXN00052223,SKU00023,CUST0044,2023-07-28,2,Defective,435.22,0,4.92
RET0000251,TXN00017104,SKU00007,CUST0026,2025-09-06,3,Damaged in Transit,444.93,0,14.49
RET0000252,TXN00086890,SKU00042,CUST0148,2024-05-15,1,Overstock,187.55,1,2.32
RET0000253,TXN00275313,SKU00170,CUST0069,2023-10-11,2,Wrong Part,157.48,1,3.94
RET0000254,TXN00359211,SKU00226,CUST0021,2024-06-12,2,Overstock,638.16,1,11.28
RET0000255,TXN00663697,SKU00446,CUST0109,2025-03-16,3,Overstock,806.55,1,10.1
RET0000256,TXN00512289,SKU00339,CUST0048,2024-05-10,2,Wrong Part,249.14,1,8.03
RET0000257,TXN00407516,SKU00261,CUST0111,2023-08-15,2,Defective,140.54,0,6.62
RET0000258,TXN00219019,SKU00128,CUST0053,2024-02-20,2,Overstock,52.52,1,6.36
RET0000259,TXN00260559,SKU00162,CUST0151,2023-07-16,2,Wrong Part,207.08,1,7.38
RET0000260,TXN00635546,SKU00432,CUST0156,2025-12-14,3,Overstock,111.09,1,12.43
RET0000261,TXN00221555,SKU00128,CUST0013,2025-09-12,2,Overstock,58.7,1,8.29
RET0000262,TXN00099209,SKU00045,CUST0019,2023-11-11,3,Defective,450.3,0,7.64
RET0000263,TXN00356614,SKU00222,CUST0075,2024-08-07,2,Wrong Part,116.54,0,6.24
RET0000264,TXN00700351,SKU00467,CUST0104,2024-11-28,2,Wrong Part,14.62,0,6.61
RET0000265,TXN00605298,SKU00414,CUST0037,2023-07-03,3,Wrong Part,53.22,0,8.45
RET0000266,TXN00220111,SKU00128,CUST0120,2024-10-16,3,Damaged in Transit,88.05,0,12.52
RET0000267,TXN00396128,SKU00250,CUST0187,2023-09-15,1,Defective,177.17,0,4.29
RET0000268,TXN00136782,SKU00073,CUST0104,2025-08-25,2,Duplicate Order,549.9,1,10.57
RET0000269,TXN00398960,SKU00253,CUST0198,2025-12-31,3,Overstock,556.59,1,5.9
RET0000270,TXN00648871,SKU00437,CUST0006,2025-04-28,3,Defective,575.28,0,13.62
RET0000271,TXN00519667,SKU00345,CUST0031,2025-07-06,2,Duplicate Order,578.82,1,5.63
RET0000272,TXN00324410,SKU00201,CUST0149,2025-04-09,2,Wrong Part,317.6,0,11.86
RET0000273,TXN00367917,SKU00230,CUST0162,2026-03-04,3,Wrong Part,346.38,1,17.13
RET0000274,TXN00628113,SKU00429,CUST0047,2026-03-24,2,Wrong Part,345.12,1,6.71
RET0000275,TXN00368404,SKU00231,CUST0047,2023-09-24,3,Defective,816.57,0,14.87
RET0000276,TXN00499842,SKU00328,CUST0175,2025-05-27,3,Overstock,46.14,1,17.02
