snapshot_id,week_ending,sku_id,units_on_hand,units_on_order,reorder_point,reorder_qty,days_on_hand,inventory_value,stockout_flag
SNP0000064,2025-08-30,SKU00002,97,428,115,428,6.4,1453.06,0
SNP0000065,2025-09-06,SKU00002,56,428,115,428,3.7,838.88,0
SNP0000066,2025-09-13,SKU00002,492,0,115,428,32.2,7370.16,0
SNP0000067,2025-09-20,SKU00002,269,0,115,428,17.6,4029.62,0
SNP0000068,2025-09-27,SKU00002,233,0,115,428,15.3,3490.34,0
SNP0000069,2025-10-04,SKU00002,196,0,115,428,12.8,2936.08,0
SNP0000070,2025-10-11,SKU00002,130,0,115,428,8.5,1947.4,0
SNP0000071,2025-10-18,SKU00002,329,0,115,428,21.5,4928.42,0
SNP0000072,2025-10-25,SKU00002,424,0,115,428,27.8,6351.52,0
SNP0000073,2025-11-01,SKU00002,122,0,115,428,8.0,1827.56,0
SNP0000074,2025-11-08,SKU00002,268,0,115,428,17.6,4014.64,0
SNP0000075,2025-11-15,SKU00002,240,0,115,428,15.7,3595.2,0
SNP0000076,2025-11-22,SKU00002,490,0,115,428,32.1,7340.2,0
SNP0000077,2025-11-29,SKU00002,156,0,115,428,10.2,2336.88,0
SNP0000078,2025-12-06,SKU00002,278,0,115,428,18.2,4164.44,0
SNP0000079,2025-12-13,SKU00002,471,0,115,428,30.8,7055.58,0
SNP0000080,2025-12-20,SKU00002,113,428,115,428,7.4,1692.74,0
SNP0000081,2025-12-27,SKU00002,328,0,115,428,21.5,4913.44,0
SNP0000082,2026-01-03,SKU00002,460,0,115,428,30.1,6890.8,0
SNP0000083,2026-01-10,SKU00002,181,0,115,428,11.9,2711.38,0
SNP0000084,2026-01-17,SKU00002,186,0,115,428,12.2,2786.28,0
SNP0000085,2026-01-24,SKU00002,15,428,115,428,1.0,224.7,0
SNP0000086,2026-01-31,SKU00002,168,0,115,428,11.0,2516.64,0
SNP0000087,2026-02-07,SKU00002,165,0,115,428,10.8,2471.7,0
SNP0000088,2026-02-14,SKU00002,94,428,115,428,6.2,1408.12,0
SNP0000089,2026-02-21,SKU00002,96,428,115,428,6.3,1438.08,0
SNP0000090,2026-02-28,SKU00002,19,428,115,428,1.2,284.62,0
SNP0000091,2026-03-07,SKU00002,498,0,115,428,32.6,7460.04,0
SNP0000092,2026-03-14,SKU00002,509,0,115,428,33.3,7624.82,0
SNP0000093,2026-03-21,SKU00002,380,0,115,428,24.9,5692.4,0
SNP0000094,2026-03-28,SKU00002,327,0,115,428,21.4,4898.46,0
SNP0000095,2026-04-04,SKU00002,282,0,115,428,18.5,4224.36,0
SNP0000096,2026-04-11,SKU00002,303,0,115,428,19.8,4538.94,0
SNP0000097,2026-04-18,SKU00002,232,0,115,428,15.2,3475.36,0
SNP0000098,2026-04-25,SKU00002,302,0,115,428,19.8,4523.96,0
SNP0000099,2026-05-02,SKU00002,76,428,115,428,5.0,1138.48,0
SNP0000100,2026-05-09,SKU00002,144,0,115,428,9.4,2157.12,0
SNP0000101,2026-05-16,SKU00002,77,428,115,428,5.0,1153.46,0
SNP0000102,2026-05-23,SKU00002,103,428,115,428,6.7,1542.94,0
SNP0000103,2026-05-30,SKU00002,90,428,115,428,5.9,1348.2,0
SNP0000104,2025-06-07,SKU00003,19,102,71,102,5.2,982.87,0
SNP0000105,2025-06-14,SKU00003,173,0,71,102,47.7,8949.29,0
SNP0000106,2025-06-21,SKU00003,71,102,71,102,19.6,3672.83,0
SNP0000107,2025-06-28,SKU00003,67,102,71,102,18.5,3465.91,0
SNP0000108,2025-07-05,SKU00003,51,102,71,102,14.1,2638.23,0
SNP0000109,2025-07-12,SKU00003,80,0,71,102,22.1,4138.4,0
SNP0000110,2025-07-19,SKU00003,86,0,71,102,23.7,4448.78,0
SNP0000111,2025-07-26,SKU00003,153,0,71,102,42.2,7914.69,0
SNP0000112,2025-08-02,SKU00003,41,102,71,102,11.3,2120.93,0
SNP0000113,2025-08-09,SKU00003,154,0,71,102,42.5,7966.42,0
SNP0000114,2025-08-16,SKU00003,33,102,71,102,9.1,1707.09,0
SNP0000115,2025-08-23,SKU00003,172,0,71,102,47.4,8897.56,0
SNP0000116,2025-08-30,SKU00003,85,0,71,102,23.4,4397.05,0
SNP0000117,2025-09-06,SKU00003,96,0,71,102,26.5,4966.08,0
SNP0000118,2025-09-13,SKU00003,82,0,71,102,22.6,4241.86,0
SNP0000119,2025-09-20,SKU00003,155,0,71,102,42.7,8018.15,0
SNP0000120,2025-09-27,SKU00003,101,0,71,102,27.9,5224.73,0
SNP0000121,2025-10-04,SKU00003,128,0,71,102,35.3,6621.44,0
SNP0000122,2025-10-11,SKU00003,45,102,71,102,12.4,2327.85,0
SNP0000123,2025-10-18,SKU00003,83,0,71,102,22.9,4293.59,0
SNP0000124,2025-10-25,SKU00003,49,102,71,102,13.5,2534.77,0
SNP0000125,2025-11-01,SKU00003,63,102,71,102,17.4,3258.99,0
SNP0000126,2025-11-08,SKU00003,41,102,71,102,11.3,2120.93,0
SNP0000127,2025-11-15,SKU00003,93,0,71,102,25.6,4810.89,0
SNP0000128,2025-11-22,SKU00003,143,0,71,102,39.4,7397.39,0
SNP0000129,2025-11-29,SKU00003,29,102,71,102,8.0,1500.17,0
SNP0000130,2025-12-06,SKU00003,60,102,71,102,16.5,3103.8,0
SNP0000131,2025-12-13,SKU00003,135,0,71,102,37.2,6983.55,0
SNP0000132,2025-12-20,SKU00003,139,0,71,102,38.3,7190.47,0
SNP0000133,2025-12-27,SKU00003,116,0,71,102,32.0,6000.68,0
SNP0000134,2026-01-03,SKU00003,105,0,71,102,29.0,5431.65,0
SNP0000135,2026-01-10,SKU00003,40,102,71,102,11.0,2069.2,0
SNP0000136,2026-01-17,SKU00003,70,102,71,102,19.3,3621.1,0
SNP0000137,2026-01-24,SKU00003,8,102,71,102,2.2,413.84,0
SNP0000138,2026-01-31,SKU00003,7,102,71,102,1.9,362.11,0
SNP0000139,2026-02-07,SKU00003,106,0,71,102,29.2,5483.38,0
SNP0000140,2026-02-14,SKU00003,148,0,71,102,40.8,7656.04,0
SNP0000141,2026-02-21,SKU00003,111,0,71,102,30.6,5742.03,0
SNP0000142,2026-02-28,SKU00003,13,102,71,102,3.6,672.49,0
SNP0000143,2026-03-07,SKU00003,43,102,71,102,11.9,2224.39,0
SNP0000144,2026-03-14,SKU00003,50,102,71,102,13.8,2586.5,0
SNP0000145,2026-03-21,SKU00003,91,0,71,102,25.1,4707.43,0
SNP0000146,2026-03-28,SKU00003,64,102,71,102,17.6,3310.72,0
SNP0000147,2026-04-04,SKU00003,161,0,71,102,44.4,8328.53,0
SNP0000148,2026-04-11,SKU00003,91,0,71,102,25.1,4707.43,0
SNP0000149,2026-04-18,SKU00003,20,102,71,102,5.5,1034.6,0
SNP0000150,2026-04-25,SKU00003,72,0,71,102,19.9,3724.56,0
SNP0000151,2026-05-02,SKU00003,142,0,71,102,39.2,7345.66,0
SNP0000152,2026-05-09,SKU00003,110,0,71,102,30.3,5690.3,0
SNP0000153,2026-05-16,SKU00003,94,0,71,102,25.9,4862.62,0
SNP0000154,2026-05-23,SKU00003,31,102,71,102,8.5,1603.63,0
SNP0000155,2026-05-30,SKU00003,101,0,71,102,27.9,5224.73,0
SNP0000156,2025-06-07,SKU00004,102,326,396,326,8.8,2472.48,0
SNP0000157,2025-06-14,SKU00004,237,326,396,326,20.4,5744.88,0
SNP0000158,2025-06-21,SKU00004,499,0,396,326,42.9,12095.76,0
SNP0000159,2025-06-28,SKU00004,36,326,396,326,3.1,872.64,0
SNP0000160,2025-07-05,SKU00004,504,0,396,326,43.3,12216.96,0
SNP0000161,2025-07-12,SKU00004,619,0,396,326,53.2,15004.56,0
SNP0000162,2025-07-19,SKU00004,309,326,396,326,26.6,7490.16,0
SNP0000163,2025-07-26,SKU00004,558,0,396,326,48.0,13525.92,0
SNP0000164,2025-08-02,SKU00004,315,326,396,326,27.1,7635.6,0
SNP0000165,2025-08-09,SKU00004,717,0,396,326,61.6,17380.08,0
SNP0000166,2025-08-16,SKU00004,612,0,396,326,52.6,14834.88,0
SNP0000167,2025-08-23,SKU00004,303,326,396,326,26.0,7344.72,0
SNP0000168,2025-08-30,SKU00004,561,0,396,326,48.2,13598.64,0
SNP0000169,2025-09-06,SKU00004,504,0,396,326,43.3,12216.96,0
SNP0000170,2025-09-13,SKU00004,387,326,396,326,33.3,9380.88,0
SNP0000171,2025-09-20,SKU00004,171,326,396,326,14.7,4145.04,0
SNP0000172,2025-09-27,SKU00004,568,0,396,326,48.8,13768.32,0
SNP0000173,2025-10-04,SKU00004,587,0,396,326,50.5,14228.88,0
SNP0000174,2025-10-11,SKU00004,14,326,396,326,1.2,339.36,0
SNP0000175,2025-10-18,SKU00004,446,0,396,326,38.3,10811.04,0
SNP0000176,2025-10-25,SKU00004,603,0,396,326,51.8,14616.72,0
SNP0000177,2025-11-01,SKU00004,584,0,396,326,50.2,14156.16,0
SNP0000178,2025-11-08,SKU00004,499,0,396,326,42.9,12095.76,0
SNP0000179,2025-11-15,SKU00004,519,0,396,326,44.6,12580.56,0
SNP0000180,2025-11-22,SKU00004,346,326,396,326,29.7,8387.04,0
SNP0000181,2025-11-29,SKU00004,7,326,396,326,0.6,169.68,0
SNP0000182,2025-12-06,SKU00004,451,0,396,326,38.8,10932.24,0
SNP0000183,2025-12-13,SKU00004,133,326,396,326,11.4,3223.92,0
SNP0000184,2025-12-20,SKU00004,99,326,396,326,8.5,2399.76,0
SNP0000185,2025-12-27,SKU00004,437,0,396,326,37.6,10592.88,0
SNP0000186,2026-01-03,SKU00004,652,0,396,326,56.0,15804.48,0
SNP0000187,2026-01-10,SKU00004,355,326,396,326,30.5,8605.2,0
SNP0000188,2026-01-17,SKU00004,278,326,396,326,23.9,6738.72,0
SNP0000189,2026-01-24,SKU00004,581,0,396,326,49.9,14083.44,0
SNP0000190,2026-01-31,SKU00004,661,0,396,326,56.8,16022.64,0
SNP0000191,2026-02-07,SKU00004,275,326,396,326,23.6,6666.0,0
SNP0000192,2026-02-14,SKU00004,209,326,396,326,18.0,5066.16,0
SNP0000193,2026-02-21,SKU00004,716,0,396,326,61.5,17355.84,0
SNP0000194,2026-02-28,SKU00004,280,326,396,326,24.1,6787.2,0
SNP0000195,2026-03-07,SKU00004,549,0,396,326,47.2,13307.76,0
SNP0000196,2026-03-14,SKU00004,162,326,396,326,13.9,3926.88,0
SNP0000197,2026-03-21,SKU00004,589,0,396,326,50.6,14277.36,0
SNP0000198,2026-03-28,SKU00004,132,326,396,326,11.3,3199.68,0
SNP0000199,2026-04-04,SKU00004,508,0,396,326,43.7,12313.92,0
SNP0000200,2026-04-11,SKU00004,622,0,396,326,53.5,15077.28,0
SNP0000201,2026-04-18,SKU00004,626,0,396,326,53.8,15174.24,0
SNP0000202,2026-04-25,SKU00004,224,326,396,326,19.3,5429.76,0
SNP0000203,2026-05-02,SKU00004,192,326,396,326,16.5,4654.08,0
SNP0000204,2026-05-09,SKU00004,263,326,396,326,22.6,6375.12,0
SNP0000205,2026-05-16,SKU00004,301,326,396,326,25.9,7296.24,0
SNP0000206,2026-05-23,SKU00004,359,326,396,326,30.9,8702.16,0
SNP0000207,2026-05-30,SKU00004,14,326,396,326,1.2,339.36,0
SNP0000208,2025-06-07,SKU00005,61,75,131,75,23.1,3689.28,0
SNP0000209,2025-06-14,SKU00005,193,0,131,75,73.0,11672.64,0
SNP0000210,2025-06-21,SKU00005,146,0,131,75,55.2,8830.08,0
SNP0000211,2025-06-28,SKU00005,160,0,131,75,60.5,9676.8,0
SNP0000212,2025-07-05,SKU00005,200,0,131,75,75.6,12096.0,0
SNP0000213,2025-07-12,SKU00005,173,0,131,75,65.4,10463.04,0
SNP0000214,2025-07-19,SKU00005,125,75,131,75,47.2,7560.0,0
SNP0000215,2025-07-26,SKU00005,176,0,131,75,66.5,10644.48,0
SNP0000216,2025-08-02,SKU00005,34,75,131,75,12.9,2056.32,0
SNP0000217,2025-08-09,SKU00005,36,75,131,75,13.6,2177.28,0
SNP0000218,2025-08-16,SKU00005,37,75,131,75,14.0,2237.76,0
SNP0000219,2025-08-23,SKU00005,138,0,131,75,52.2,8346.24,0
SNP0000220,2025-08-30,SKU00005,119,75,131,75,45.0,7197.12,0
SNP0000221,2025-09-06,SKU00005,81,75,131,75,30.6,4898.88,0
SNP0000222,2025-09-13,SKU00005,194,0,131,75,73.3,11733.12,0
SNP0000223,2025-09-20,SKU00005,69,75,131,75,26.1,4173.12,0
SNP0000224,2025-09-27,SKU00005,167,0,131,75,63.1,10100.16,0
SNP0000225,2025-10-04,SKU00005,185,0,131,75,69.9,11188.8,0
SNP0000226,2025-10-11,SKU00005,198,0,131,75,74.8,11975.04,0
SNP0000227,2025-10-18,SKU00005,137,0,131,75,51.8,8285.76,0
SNP0000228,2025-10-25,SKU00005,84,75,131,75,31.8,5080.32,0
SNP0000229,2025-11-01,SKU00005,140,0,131,75,52.9,8467.2,0
SNP0000230,2025-11-08,SKU00005,41,75,131,75,15.5,2479.68,0
SNP0000231,2025-11-15,SKU00005,141,0,131,75,53.3,8527.68,0
SNP0000232,2025-11-22,SKU00005,89,75,131,75,33.6,5382.72,0
SNP0000233,2025-11-29,SKU00005,161,0,131,75,60.9,9737.28,0
SNP0000234,2025-12-06,SKU00005,147,0,131,75,55.6,8890.56,0
SNP0000235,2025-12-13,SKU00005,108,75,131,75,40.8,6531.84,0
SNP0000236,2025-12-20,SKU00005,35,75,131,75,13.2,2116.8,0
SNP0000237,2025-12-27,SKU00005,103,75,131,75,38.9,6229.44,0
SNP0000238,2026-01-03,SKU00005,41,75,131,75,15.5,2479.68,0
SNP0000239,2026-01-10,SKU00005,33,75,131,75,12.5,1995.84,0
SNP0000240,2026-01-17,SKU00005,137,0,131,75,51.8,8285.76,0
SNP0000241,2026-01-24,SKU00005,191,0,131,75,72.2,11551.68,0
SNP0000242,2026-01-31,SKU00005,82,75,131,75,31.0,4959.36,0
SNP0000243,2026-02-07,SKU00005,113,75,131,75,42.7,6834.24,0
SNP0000244,2026-02-14,SKU00005,202,0,131,75,76.4,12216.96,0
SNP0000245,2026-02-21,SKU00005,170,0,131,75,64.3,10281.6,0
SNP0000246,2026-02-28,SKU00005,195,0,131,75,73.7,11793.6,0
SNP0000247,2026-03-07,SKU00005,100,75,131,75,37.8,6048.0,0
SNP0000248,2026-03-14,SKU00005,3,75,131,75,1.1,181.44,0
SNP0000249,2026-03-21,SKU00005,2,75,131,75,0.8,120.96,0
SNP0000250,2026-03-28,SKU00005,115,75,131,75,43.5,6955.2,0
SNP0000251,2026-04-04,SKU00005,86,75,131,75,32.5,5201.28,0
SNP0000252,2026-04-11,SKU00005,204,0,131,75,77.1,12337.92,0
SNP0000253,2026-04-18,SKU00005,191,0,131,75,72.2,11551.68,0
SNP0000254,2026-04-25,SKU00005,186,0,131,75,70.3,11249.28,0
SNP0000255,2026-05-02,SKU00005,30,75,131,75,11.3,1814.4,0
SNP0000256,2026-05-09,SKU00005,146,0,131,75,55.2,8830.08,0
SNP0000257,2026-05-16,SKU00005,131,75,131,75,49.5,7922.88,0
SNP0000258,2026-05-23,SKU00005,90,75,131,75,34.0,5443.2,0
SNP0000259,2026-05-30,SKU00005,89,75,131,75,33.6,5382.72,0
SNP0000260,2025-06-07,SKU00006,48,0,31,33,41.7,5998.56,0
SNP0000261,2025-06-14,SKU00006,62,0,31,33,53.9,7748.14,0
SNP0000262,2025-06-21,SKU00006,29,33,31,33,25.2,3624.13,0
SNP0000263,2025-06-28,SKU00006,64,0,31,33,55.6,7998.08,0
SNP0000264,2025-07-05,SKU00006,9,33,31,33,7.8,1124.73,0
SNP0000265,2025-07-12,SKU00006,55,0,31,33,47.8,6873.35,0
SNP0000266,2025-07-19,SKU00006,35,0,31,33,30.4,4373.95,0
SNP0000267,2025-07-26,SKU00006,10,33,31,33,8.7,1249.7,0
SNP0000268,2025-08-02,SKU00006,25,33,31,33,21.7,3124.25,0
SNP0000269,2025-08-09,SKU00006,14,33,31,33,12.2,1749.58,0
SNP0000270,2025-08-16,SKU00006,47,0,31,33,40.8,5873.59,0
SNP0000271,2025-08-23,SKU00006,34,0,31,33,29.5,4248.98,0
SNP0000272,2025-08-30,SKU00006,12,33,31,33,10.4,1499.64,0
SNP0000273,2025-09-06,SKU00006,51,0,31,33,44.3,6373.47,0
SNP0000274,2025-09-13,SKU00006,26,33,31,33,22.6,3249.22,0
SNP0000275,2025-09-20,SKU00006,24,33,31,33,20.8,2999.28,0
SNP0000276,2025-09-27,SKU00006,5,33,31,33,4.3,624.85,0
SNP0000277,2025-10-04,SKU00006,52,0,31,33,45.2,6498.44,0
SNP0000278,2025-10-11,SKU00006,9,33,31,33,7.8,1124.73,0
SNP0000279,2025-10-18,SKU00006,41,0,31,33,35.6,5123.77,0
SNP0000280,2025-10-25,SKU00006,58,0,31,33,50.4,7248.26,0
SNP0000281,2025-11-01,SKU00006,58,0,31,33,50.4,7248.26,0
SNP0000282,2025-11-08,SKU00006,2,33,31,33,1.7,249.94,0
SNP0000283,2025-11-15,SKU00006,25,33,31,33,21.7,3124.25,0
SNP0000284,2025-11-22,SKU00006,56,0,31,33,48.6,6998.32,0
SNP0000285,2025-11-29,SKU00006,39,0,31,33,33.9,4873.83,0
SNP0000286,2025-12-06,SKU00006,27,33,31,33,23.5,3374.19,0
SNP0000287,2025-12-13,SKU00006,46,0,31,33,40.0,5748.62,0
SNP0000288,2025-12-20,SKU00006,8,33,31,33,6.9,999.76,0
SNP0000289,2025-12-27,SKU00006,57,0,31,33,49.5,7123.29,0
SNP0000290,2026-01-03,SKU00006,2,33,31,33,1.7,249.94,0
SNP0000291,2026-01-10,SKU00006,21,33,31,33,18.2,2624.37,0
SNP0000292,2026-01-17,SKU00006,4,33,31,33,3.5,499.88,0
SNP0000293,2026-01-24,SKU00006,41,0,31,33,35.6,5123.77,0
SNP0000294,2026-01-31,SKU00006,3,33,31,33,2.6,374.91,0
SNP0000295,2026-02-07,SKU00006,44,0,31,33,38.2,5498.68,0
SNP0000296,2026-02-14,SKU00006,64,0,31,33,55.6,7998.08,0
SNP0000297,2026-02-21,SKU00006,10,33,31,33,8.7,1249.7,0
SNP0000298,2026-02-28,SKU00006,5,33,31,33,4.3,624.85,0
SNP0000299,2026-03-07,SKU00006,20,33,31,33,17.4,2499.4,0
SNP0000300,2026-03-14,SKU00006,4,33,31,33,3.5,499.88,0
SNP0000301,2026-03-21,SKU00006,56,0,31,33,48.6,6998.32,0
SNP0000302,2026-03-28,SKU00006,59,0,31,33,51.3,7373.23,0
SNP0000303,2026-04-04,SKU00006,63,0,31,33,54.7,7873.11,0
SNP0000304,2026-04-11,SKU00006,18,33,31,33,15.6,2249.46,0
SNP0000305,2026-04-18,SKU00006,10,33,31,33,8.7,1249.7,0
SNP0000306,2026-04-25,SKU00006,51,0,31,33,44.3,6373.47,0
SNP0000307,2026-05-02,SKU00006,4,33,31,33,3.5,499.88,0
SNP0000308,2026-05-09,SKU00006,22,33,31,33,19.1,2749.34,0
SNP0000309,2026-05-16,SKU00006,32,0,31,33,27.8,3999.04,0
SNP0000310,2026-05-23,SKU00006,53,0,31,33,46.0,6623.41,0
SNP0000311,2026-05-30,SKU00006,15,33,31,33,13.0,1874.55,0
SNP0000312,2025-06-07,SKU00007,150,138,200,138,30.5,17157.0,0
SNP0000313,2025-06-14,SKU00007,205,0,200,138,41.7,23447.9,0
SNP0000314,2025-06-21,SKU00007,117,138,200,138,23.8,13382.46,0
SNP0000315,2025-06-28,SKU00007,133,138,200,138,27.1,15212.54,0
SNP0000316,2025-07-05,SKU00007,304,0,200,138,61.9,34771.52,0
SNP0000317,2025-07-12,SKU00007,171,138,200,138,34.8,19558.98,0
SNP0000318,2025-07-19,SKU00007,248,0,200,138,50.5,28366.24,0
SNP0000319,2025-07-26,SKU00007,145,138,200,138,29.5,16585.1,0
SNP0000320,2025-08-02,SKU00007,107,138,200,138,21.8,12238.66,0
SNP0000321,2025-08-09,SKU00007,97,138,200,138,19.7,11094.86,0
SNP0000322,2025-08-16,SKU00007,17,138,200,138,3.5,1944.46,0
SNP0000323,2025-08-23,SKU00007,304,0,200,138,61.9,34771.52,0
SNP0000324,2025-08-30,SKU00007,338,0,200,138,68.8,38660.44,0
SNP0000325,2025-09-06,SKU00007,298,0,200,138,60.7,34085.24,0
SNP0000326,2025-09-13,SKU00007,67,138,200,138,13.6,7663.46,0
SNP0000327,2025-09-20,SKU00007,133,138,200,138,27.1,15212.54,0
SNP0000328,2025-09-27,SKU00007,4,138,200,138,0.8,457.52,0
SNP0000329,2025-10-04,SKU00007,57,138,200,138,11.6,6519.66,0
SNP0000330,2025-10-11,SKU00007,143,138,200,138,29.1,16356.34,0
SNP0000331,2025-10-18,SKU00007,58,138,200,138,11.8,6634.04,0
SNP0000332,2025-10-25,SKU00007,173,138,200,138,35.2,19787.74,0
SNP0000333,2025-11-01,SKU00007,336,0,200,138,68.4,38431.68,0
SNP0000334,2025-11-08,SKU00007,199,138,200,138,40.5,22761.62,0
SNP0000335,2025-11-15,SKU00007,71,138,200,138,14.5,8120.98,0
SNP0000336,2025-11-22,SKU00007,246,0,200,138,50.1,28137.48,0
SNP0000337,2025-11-29,SKU00007,176,138,200,138,35.8,20130.88,0
SNP0000338,2025-12-06,SKU00007,210,0,200,138,42.8,24019.8,0
SNP0000339,2025-12-13,SKU00007,49,138,200,138,10.0,5604.62,0
SNP0000340,2025-12-20,SKU00007,306,0,200,138,62.3,35000.28,0
SNP0000341,2025-12-27,SKU00007,313,0,200,138,63.7,35800.94,0
SNP0000342,2026-01-03,SKU00007,297,0,200,138,60.5,33970.86,0
SNP0000343,2026-01-10,SKU00007,328,0,200,138,66.8,37516.64,0
SNP0000344,2026-01-17,SKU00007,254,0,200,138,51.7,29052.52,0
SNP0000345,2026-01-24,SKU00007,86,138,200,138,17.5,9836.68,0
SNP0000346,2026-01-31,SKU00007,307,0,200,138,62.5,35114.66,0
SNP0000347,2026-02-07,SKU00007,141,138,200,138,28.7,16127.58,0
SNP0000348,2026-02-14,SKU00007,193,138,200,138,39.3,22075.34,0
SNP0000349,2026-02-21,SKU00007,214,0,200,138,43.6,24477.32,0
SNP0000350,2026-02-28,SKU00007,140,138,200,138,28.5,16013.2,0
SNP0000351,2026-03-07,SKU00007,226,0,200,138,46.0,25849.88,0
SNP0000352,2026-03-14,SKU00007,318,0,200,138,64.7,36372.84,0
SNP0000353,2026-03-21,SKU00007,55,138,200,138,11.2,6290.9,0
SNP0000354,2026-03-28,SKU00007,25,138,200,138,5.1,2859.5,0
SNP0000355,2026-04-04,SKU00007,226,0,200,138,46.0,25849.88,0
